EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,KVAAndPhase,KVA And Phase,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,NumberOfStages,Number Of Stages,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,Phase,Phase,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,PhaseColour,Phase Colour,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,Stage,Stage,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,TotalLoad,Total Load,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,TotalLots,Total Lots,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,TypeOfComplaint,Type Of Complaint,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,UnsafeServiceLineType,Unsafe Service Line Type,VARCHAR(256),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,UtilityDisputesLtd,Utility Disputes Ltd,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,ClosedDate,Closed Date,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,Fibre,Fibre,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,FibrePrebuild,Fibre Prebuild,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Cases,Salesforce Cases,Load Table,FibreAvailable,Fibre Available,VARCHAR(64),,True,L_Salesforce_Cases,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,RecordID,Record  ID,VARCHAR(64),,False,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,Location,Location,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,ICP,ICP,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,Deleted,Deleted,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,GoogleMaps,Google Maps,VARCHAR(MAX),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,GeoLocation,Geo Location,VARCHAR(MAX),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,ModifiedDate,Modified Date,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,HouseNumber,House Number,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,StreetAddress,Street Address,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,Suburb,Suburb,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_Locations,Salesforce record types,Load Table,City,City,VARCHAR(64),,True,L_Salesforce_Locations,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_RecordTypes,Salesforce record types,Load Table,RecordTypeID,Record Type ID,VARCHAR(64),,False,L_Salesforce_RecordTypes,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_RecordTypes,Salesforce record types,Load Table,Name,Name,VARCHAR(64),,True,L_Salesforce_RecordTypes,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_RecordTypes,Salesforce record types,Load Table,RecordTypeName,Record Type Name,VARCHAR(64),,True,L_Salesforce_RecordTypes,,,,,,,0,NULL,0,N
EXTERNALLYLOADEDTABLES,L_Salesforce_RecordTypes,Salesforce record types,Load Table,Description,Description,VARCHAR(64),,True,L_Salesforce_RecordTypes,,,,,,,0,NULL,0,N
